Date;Heure;Score;Score max;Essai;;;;;;;;;;;;MOY score;Entendu score;temps jeu;Nombre essai;Temps moyen essai (secondes) 
23/07/2023;00:11:33;23;109;295;;;;;;;;;;;;;;;;
23/07/2023;00:11:35;56;109;296;;;;;;;;;;;;;;;;
23/07/2023;00:11:38;79;109;297;;;;;;;;;;;;;;;;
23/07/2023;00:11:40;67;109;298;;;;;;;;;;;;;;;;
23/07/2023;00:11:41;66;109;299;;;;;;;;;;;;;;;;
23/07/2023;00:11:43;63;109;300;;;;;;;;;;;;;;;;
23/07/2023;00:11:46;70;109;301;;;;;;;;;;;;;;;;
23/07/2023;00:11:48;73;109;302;;;;;;;;;;;;;;;;
23/07/2023;00:11:50;59;109;303;;;;;;;;;;;;;;;;
23/07/2023;00:11:53;74;109;304;;;;;;;;;;;;;;;;
23/07/2023;00:11:53;23;109;305;;;;;;;;;;;;;;;;
23/07/2023;00:11:55;60;109;306;;;;;;;;;;;;;;;;
23/07/2023;00:11:57;70;109;307;;;;;;;;;;;;;;;;
23/07/2023;00:11:59;65;109;308;;;;;;;;;;;;;;;;
23/07/2023;00:12:01;63;109;309;;;;;;;;;;;;;;;;
23/07/2023;00:12:03;56;109;310;;;;;;;;;;;;;;;;
23/07/2023;00:12:05;66;109;311;;;;;;;;;;;;;;;;
23/07/2023;00:12:07;63;109;312;;;;;;;;;;;;;;;;
23/07/2023;00:12:09;58;109;313;;;;;;;;;;;;;;;;
23/07/2023;00:12:10;48;109;314;;;;;;;;;;;;;;;;
23/07/2023;00:12:13;71;109;315;;;;;;;;;;;;;;;;
23/07/2023;00:12:14;42;109;316;;;;;;;;;;;;;;;;
23/07/2023;00:12:15;39;109;317;;;;;;;;;;;;;;;;
23/07/2023;00:12:17;47;109;318;;;;;;;;;;;;;;;;
23/07/2023;00:12:19;78;109;319;;;;;;;;;;;;;;;;
23/07/2023;00:12:21;72;109;320;;;;;;;;;;;;;;;;
23/07/2023;00:12:24;76;109;321;;;;;;;;;;;;;;;;
23/07/2023;00:12:25;52;109;322;;;;;;;;;;;;;;;;
23/07/2023;00:12:27;50;109;323;;;;;;;;;;;;;;;;
23/07/2023;00:12:29;69;109;324;;;;;;;;;;;;;;;;
23/07/2023;00:12:31;61;109;325;;;;;;;;;;;;;;;;
23/07/2023;00:12:34;74;109;326;;;;;;;;;;;;;;;;
23/07/2023;00:12:37;80;109;327;;;;;;;;;;;;;;;;
23/07/2023;00:12:37;32;109;328;;;;;;;;;;;;;;;;
23/07/2023;00:12:40;78;109;329;;;;;;;;;;;;;;;;
23/07/2023;00:12:42;41;109;330;;;;;;;;;;;;;;;;
23/07/2023;00:12:44;86;109;331;;;;;;;;;;;;;;;;
23/07/2023;00:12:45;37;109;332;;;;;;;;;;;;;;;;
23/07/2023;00:12:49;88;109;333;;;;;;;;;;;;;;;;
23/07/2023;00:12:50;55;109;334;;;;;;;;;;;;;;;;
23/07/2023;00:12:52;58;109;335;;;;;;;;;;;;;;;;
23/07/2023;00:12:53;45;109;336;;;;;;;;;;;;;;;;
23/07/2023;00:12:55;60;109;337;;;;;;;;;;;;;;;;
23/07/2023;00:12:57;47;109;338;;;;;;;;;;;;;;;;
23/07/2023;00:12:58;64;109;339;;;;;;;;;;;;;;;;
23/07/2023;00:13:00;63;109;340;;;;;;;;;;;;;;;;
23/07/2023;00:13:02;60;109;341;;;;;;;;;;;;;;;;
